kab_kota,latitude,longitude,Jumlah_Murid_SMA,PDRB_harga_konstan
Kota Magelang,-7.47655570924917,110.22011135852502,5744,7264923.66
Wonogiri,-7.919332306239032,110.99919238318206,11403,23566879.01
Pati,-6.743389875509411,111.04228325660206,14973,34984662.83
Kota Salatiga,-7.337679705713819,110.49837395593222,4672,10918688.78
Blora,-7.074486341364218,111.38743859788283,9573,19184918.86
Kota Tegal,-6.869175151905993,109.1157470004714,6201,12468605.88
Kudus,-6.790279547383467,110.86990516203842,10592,72984396.76
Karanganyar,-7.614161714823202,111.01925452631464,11382,30208236.04
Demak,-6.910803353420304,110.6339996536016,16371,20839746.27
Kebumen,-7.654989384772902,109.6173560982474,13362,22638895.33
Temanggung,-7.257714832919591,110.13630652023056,7358,16997526.82
Cilacap,-7.48902478992265,108.8898888055918,19356,101839740.6
Boyolali,-7.416567276000578,110.652484762646,15808,26334296.33
Purworejo,-7.700407918484394,109.96612653976445,9309,15025908.55
Jepara,-6.549103977605224,110.76814383707632,13929,24451039.8
Grobogan,-7.117657273666988,110.92717974133888,18175,22380303.89
Pemalang,-7.036848556885309,109.39515996857618,13177,20719581.53
Kota Pekalongan,-6.893409948116603,109.6771549893181,3950,8476545.73
Kota Surakarta,-7.557894806635609,110.82314485197368,19452,40620314.49
Rembang,-6.775146217970921,111.46151893916876,8871,15463552.73
Tegal,-7.028805332100838,109.15850766251488,11948,28023033.89
Semarang,-7.270928485949366,110.47351532950692,14036,39651856.25
Banjarnegara,-7.351360606635531,109.65703624625398,8272,17173451.62
Batang,-7.021021538262818,109.86159432758436,6675,17629389.28
Purbalingga,-7.323247798893909,109.40720551627096,11785,19533863.81
Wonosobo,-7.416333553205933,109.90735180502188,9855,15405984.62
Klaten,-7.685830745373379,110.61945331067824,17280,31938326.59
Kota Semarang,-7.023904499435889,110.39152196866944,30935,161849112.4
Banyumas,-7.455537569160524,109.17579816452997,21245,45396301.96
Kendal,-7.038718780433447,110.15733776788888,14544,35286233.79
Sragen,-7.385353425630805,110.9741452410344,11445,30442192.81
Sukoharjo,-7.680860488144914,110.83483711037996,15402,30661916.76
Pekalongan,-7.057032028152367,109.6205018635568,9423,18361079.36
Magelang,-7.501759048505197,110.24721175009968,15768,26211563.24
Brebes,-7.06284467393083,108.92953056318582,20683,36739154.44
