kab_kota,latitude,longitude
Kota Magelang,-7.47655570924917,110.22011135852502
Wonogiri,-7.919332306239032,110.99919238318206
Pati,-6.743389875509411,111.04228325660206
Kota Salatiga,-7.337679705713819,110.49837395593222
Blora,-7.074486341364218,111.38743859788285
Kota Tegal,-6.869175151905993,109.11574700047139
Kudus,-6.790279547383467,110.86990516203842
Karanganyar,-7.614161714823202,111.01925452631464
Demak,-6.910803353420304,110.63399965360159
Kebumen,-7.654989384772902,109.61735609824741
Temanggung,-7.257714832919591,110.13630652023055
Cilacap,-7.4890247899226505,108.8898888055918
Boyolali,-7.416567276000578,110.65248476264601
Purworejo,-7.700407918484394,109.96612653976443
Jepara,-6.549103977605224,110.76814383707631
Grobogan,-7.117657273666988,110.92717974133889
Pemalang,-7.036848556885309,109.39515996857618
Kota Pekalongan,-6.893409948116603,109.6771549893181
Kota Surakarta,-7.557894806635609,110.82314485197368
Rembang,-6.775146217970921,111.46151893916877
Tegal,-7.028805332100838,109.15850766251488
Semarang,-7.270928485949366,110.47351532950691
Banjarnegara,-7.351360606635531,109.65703624625398
Batang,-7.021021538262818,109.86159432758437
Purbalingga,-7.3232477988939095,109.40720551627095
Wonosobo,-7.416333553205933,109.90735180502189
Klaten,-7.685830745373379,110.61945331067824
Kota Semarang,-7.023904499435889,110.39152196866945
Banyumas,-7.455537569160524,109.17579816452997
Kendal,-7.038718780433447,110.15733776788888
Sragen,-7.385353425630805,110.97414524103439
Sukoharjo,-7.680860488144914,110.83483711037996
Pekalongan,-7.057032028152367,109.62050186355681
Magelang,-7.501759048505197,110.24721175009968
Brebes,-7.06284467393083,108.92953056318582
